RISC,TIS,SIMD,Total
0.633333333333333,0.622886884873555,0.708333333333333,0.657910710308044
0.7,0.870406586207663,0.708333333333333,0.737414650574866
0.966666666666667,0.935897435897436,0.833333333333333,0.900512820512821
0.833333333333333,0.437179487179487,0.5,0.587435897435897
0.866666666666667,0.878141097424412,1,0.895628219484883
0.633333333333333,0.831058824965516,0.666666666666667,0.67287843165977
1,0.829309275655084,0.625,0.815861855131017
0.733333333333333,0.900213675213675,0.791666666666667,0.796709401709402
0.9,0.893019943019943,0.916666666666667,0.885270655270655
0.733333333333333,0.900213675213675,0.791666666666667,0.796709401709402
0.933333333333333,0.885681224337439,1,0.937136244867488
0.666666666666667,0,0,0.2
0.666666666666667,0.835314949038354,0.375,0.577062989807671
0.066666666666667,0,0,0.11
0.633333333333333,0,0.833333333333333,0.613333333333333
0.933333333333333,0.885681224337439,1,0.937136244867488
0.966666666666667,0.935897435897436,0.833333333333333,0.900512820512821
0.4,0.731876431504732,0.708333333333333,0.56970861963428
0.666666666666667,0.835314949038354,0.375,0.577062989807671
0.866666666666667,0.768821733821733,0.75,0.793764346764347
0.9,0.733462961554476,0.333333333333333,0.620025925644229
0.073333333333333,0.449153086510174,0.916666666666667,0.508497283968701
0.633333333333333,0.658634240283818,0.916666666666667,0.74839351472343
1,0.865192920905559,0.75,0.873038584181112
0.766666666666667,0.809615384615385,0.541666666666667,0.678589743589744
0.666666666666667,0.371367521367521,0.666666666666667,0.600940170940171
0.766666666666667,1,0.75,0.82
0.666666666666667,0.371367521367521,0.666666666666667,0.600940170940171
0.666666666666667,0.835314949038354,0.375,0.577062989807671
0.966666666666667,0.935897435897436,0.833333333333333,0.900512820512821
0.726666666666667,0.745832589704673,0.791666666666667,0.753833184607601
0.9,0.733462961554476,0.333333333333333,0.620025925644229
0.966666666666667,0.925498575498576,0.583333333333333,0.798433048433049
0.966666666666667,0.925498575498576,0.583333333333333,0.798433048433049
0.966666666666667,1,0.833333333333333,0.913333333333333
0.966666666666667,1,0.708333333333333,0.863333333333333
0.966666666666667,0.851424501424501,1,0.9502849002849
0.766666666666667,0.809615384615385,0.541666666666667,0.678589743589744
1,0.860701754385965,0.875,0.922140350877193
0.766666666666667,0,0.625,0.57
0.866666666666667,1,0.833333333333333,0.853333333333333
0.766666666666667,0.809615384615385,0.541666666666667,0.678589743589744
0.766666666666667,1,0.75,0.82
0.633333333333333,0.831058824965516,0.666666666666667,0.67287843165977
0.633333333333333,0,0.833333333333333,0.613333333333333
0.6,0.373504273504273,0.5,0.514700854700855
0.4,0.731876431504732,0.708333333333333,0.56970861963428
0.9,0.864056453387394,0.833333333333333,0.866144624010812
0.766666666666667,1,0.75,0.82
0.6,0.373504273504273,0.5,0.514700854700855
0.633333333333333,0.658634240283818,0.916666666666667,0.74839351472343
0.666666666666667,0,0.166666666666667,0.266666666666667
0.833333333333333,0.868589743589744,0.666666666666667,0.740384615384616
0.633333333333333,0,0.833333333333333,0.613333333333333
0.9,0.864056453387394,0.833333333333333,0.866144624010812
0.966666666666667,0.851424501424501,1,0.9502849002849
0.9,0.852304156485136,0.708333333333333,0.79379416463036
0.833333333333333,0.437179487179487,0.5,0.587435897435897
1,0.865192920905559,0.75,0.873038584181112
0.933333333333333,0,0.166666666666667,0.426666666666667
0.9,1,0.791666666666667,0.856666666666667
0.966666666666667,1,0.833333333333333,0.913333333333333
0.9,1,0.791666666666667,0.856666666666667
0.866666666666667,0.768821733821733,0.75,0.793764346764347
1,0.860701754385965,0.875,0.922140350877193
0.966666666666667,0.925498575498576,0.583333333333333,0.798433048433049
0.4,0.731876431504732,0.708333333333333,0.56970861963428
0.833333333333333,0.437179487179487,0.5,0.587435897435897
1,0.829309275655084,0.625,0.815861855131017
0.7,0.870406586207663,0.708333333333333,0.737414650574866
0.7,0.870406586207663,0.708333333333333,0.737414650574866
0.966666666666667,0.925498575498576,0.583333333333333,0.798433048433049
0.9,1,0.791666666666667,0.856666666666667
0.733333333333333,0.900213675213675,0.791666666666667,0.796709401709402
0.726666666666667,0.745832589704673,0.791666666666667,0.753833184607601
1,0.865192920905559,0.75,0.873038584181112
0.7,0.870406586207663,0.708333333333333,0.737414650574866
0.073333333333333,0.449153086510174,0.916666666666667,0.508497283968701
0.866666666666667,0.768821733821733,0.75,0.793764346764347
0.866666666666667,0.878141097424412,1,0.895628219484883
1,0.860701754385965,0.875,0.922140350877193
0.833333333333333,0.868589743589744,0.666666666666667,0.740384615384616
0.666666666666667,0.371367521367521,0.666666666666667,0.600940170940171
0.633333333333333,0.831058824965516,0.666666666666667,0.67287843165977
0.933333333333333,0.885681224337439,1,0.937136244867488
0.933333333333333,0.885681224337439,1,0.937136244867488
0.966666666666667,0.851424501424501,1,0.9502849002849
0.633333333333333,0.622886884873555,0.708333333333333,0.657910710308044
0.866666666666667,0.878141097424412,1,0.895628219484883
0.9,0.733462961554476,0.333333333333333,0.620025925644229
0.9,0.809989068058793,0.958333333333333,0.885331146945092
0.833333333333333,0.437179487179487,0.5,0.587435897435897
0.9,0.809989068058793,0.958333333333333,0.885331146945092
0.9,0.893019943019943,0.916666666666667,0.885270655270655
0.9,0.809989068058793,0.958333333333333,0.885331146945092
0.9,0.893019943019943,0.916666666666667,0.885270655270655
1,0.865192920905559,0.75,0.873038584181112
