RISC %,TIS %,SIMD %,Total %
0.306666666666667,0,0.583333333333333,0.356
0.966666666666667,0.863819146655232,0.916666666666667,0.92609716266438
0.933333333333333,1,0.916666666666667,0.94
0.966666666666667,0.679846268992885,0.708333333333333,0.805969253798577
0.966666666666667,1,0.708333333333333,0.87
0.933333333333333,1,0.916666666666667,0.94
0.933333333333333,1,0.916666666666667,0.94
0.933333333333333,0.775390346364445,0.583333333333333,0.761744735939556
0.966666666666667,0.753841107250276,1.08333333333333,0.970768221450055
0.966666666666667,1,0.833333333333333,0.92
0.966666666666667,1,0.708333333333333,0.87
0.933333333333333,0.876842302744425,0.458333333333333,0.732035127215552
0.933333333333333,0.902298992281304,0.958333333333333,0.937126465122928
0.966666666666667,0.753841107250276,1.08333333333333,0.970768221450055
0.933333333333333,0.775390346364445,0.583333333333333,0.761744735939556
0.933333333333333,0.852048670668954,0.958333333333333,0.927076400800457
0.566666666666667,0,0.291666666666667,0.343333333333333
0.933333333333333,0.852048670668954,0.958333333333333,0.927076400800457
0.966666666666667,1,0.708333333333333,0.87
0.833333333333333,0.901293417667239,0.791666666666667,0.830258683533448
0.866666666666667,0.548803693295865,0.333333333333333,0.589760738659173
0.933333333333333,1,0.916666666666667,0.94
0.933333333333333,0.775390346364445,0.583333333333333,0.761744735939556
0.866666666666667,0.548803693295865,0.333333333333333,0.589760738659173
1,1,1,1
0.866666666666667,0.661125187134661,0.541666666666667,0.695558370760266
0.866666666666667,0.548803693295865,0.333333333333333,0.589760738659173
0.933333333333333,0.775390346364445,0.583333333333333,0.761744735939556
0.966666666666667,0.863819146655232,0.916666666666667,0.92609716266438
0.966666666666667,0.863819146655232,0.916666666666667,0.92609716266438
0.866666666666667,0.661125187134661,0.541666666666667,0.695558370760266
0.833333333333333,0.901293417667239,0.791666666666667,0.830258683533448
0.766666666666667,0,0.875,0.656666666666667
0.933333333333333,0.852048670668954,0.958333333333333,0.927076400800457
0.933333333333333,0.902298992281304,0.958333333333333,0.937126465122928
1,1,1.08333333333333,1
0.833333333333333,0.901293417667239,0.791666666666667,0.830258683533448
0.933333333333333,0.876842302744425,0.458333333333333,0.732035127215552
0.833333333333333,0.901293417667239,0.791666666666667,0.830258683533448
0.933333333333333,0.876842302744425,0.458333333333333,0.732035127215552
0.766666666666667,0.870930339632985,1,0.880852734593264
1,1,1,1
0.933333333333333,0.876842302744425,0.458333333333333,0.732035127215552
0.966666666666667,0.753841107250276,1.08333333333333,0.970768221450055
1,1,1,1
0.866666666666667,0.661125187134661,0.541666666666667,0.695558370760266
0.966666666666667,1,0.833333333333333,0.92
0.766666666666667,0.870930339632985,1,0.880852734593264
0.933333333333333,0.902298992281304,0.958333333333333,0.937126465122928
1,1,1.08333333333333,1
1,1,1,1
0.933333333333333,0.852048670668954,0.958333333333333,0.927076400800457
0.766666666666667,0.870930339632985,1,0.880852734593264
0.766666666666667,0.870930339632985,1,0.880852734593264
0.966666666666667,1,0.833333333333333,0.92
0,0,0,0
0.966666666666667,1,0.833333333333333,0.92
0.8,0.256129079899572,0.166666666666667,0.437892482646581
0.966666666666667,0.679846268992885,0.708333333333333,0.805969253798577
0.566666666666667,0,0.291666666666667,0.343333333333333
0.966666666666667,0.679846268992885,0.708333333333333,0.805969253798577
0.8,0.787651108958484,0.583333333333333,0.71086355512503
0.966666666666667,1,0.708333333333333,0.87
0.306666666666667,0,0.583333333333333,0.356
0.966666666666667,0.679846268992885,0.708333333333333,0.805969253798577
0.566666666666667,0,0.291666666666667,0.343333333333333
0.306666666666667,0,0.583333333333333,0.356
0.966666666666667,0.753841107250276,1.08333333333333,0.970768221450055
0.966666666666667,0.863819146655232,0.916666666666667,0.92609716266438
1,1,1.08333333333333,1
1,1,1.08333333333333,1
0.306666666666667,0,0.583333333333333,0.356
0.566666666666667,0,0.291666666666667,0.343333333333333
0.8,0,0,0.32
0.8,0.787651108958484,0.583333333333333,0.71086355512503
0.8,0.787651108958484,0.583333333333333,0.71086355512503
0.866666666666667,0.548803693295865,0.333333333333333,0.589760738659173
0.733333333333333,0.700284873630488,0.75,0.733390308059431
0.933333333333333,0.902298992281304,0.958333333333333,0.937126465122928
0.966666666666667,0.903293310463122,0.958333333333333,0.950658662092625
0.966666666666667,0.903293310463122,0.958333333333333,0.950658662092625
0.966666666666667,0.903293310463122,0.958333333333333,0.950658662092625
0.437333333333333,0.672597732824595,0.083333333333333,0.342786213231586
0.766666666666667,0,0.875,0.656666666666667
0.021333333333333,0.728926228520497,0.666666666666667,0.4209852457041
0.021333333333333,0.728926228520497,0.666666666666667,0.4209852457041
0.437333333333333,0.672597732824595,0.083333333333333,0.342786213231586
0.021333333333333,0.728926228520497,0.666666666666667,0.4209852457041
0.733333333333333,0.700284873630488,0.75,0.733390308059431
0.733333333333333,0.700284873630488,0.75,0.733390308059431
0.766666666666667,0,0.875,0.656666666666667
0.733333333333333,0.700284873630488,0.75,0.733390308059431
0.966666666666667,0.903293310463122,0.958333333333333,0.950658662092625
0.766666666666667,0,0.875,0.656666666666667
0.021333333333333,0.728926228520497,0.666666666666667,0.4209852457041
0.437333333333333,0.672597732824595,0.083333333333333,0.342786213231586
